timestamp,amcl_x,amcl_y,amcl_theta,dubins_x,dubins_y,dubins_v,dubins_theta,teleop_v,teleop_w
1775605442.921455,0.7182201477889213,0.5908620220772837,1.5901222887789996,3.102397102678493,0.634699183015249,0.0,0.2835127711296081,0.0,0.0
1775605443.0213451,0.7182201477889213,0.5908620220772837,1.5901222887789996,3.102397102678493,0.634699183015249,0.0,0.283494770526886,0.0,0.0
1775605443.121478,0.7182201477889213,0.5908620220772837,1.5901222887789996,3.102397102678493,0.634699183015249,0.0,0.28351151943206787,0.0,0.0
1775605443.221345,0.7182201477889213,0.5908620220772837,1.5901222887789996,3.102397102678493,0.634699183015249,0.0,0.2834995985031128,0.0,0.0
1775605443.3213704,0.7182201477889213,0.5908620220772837,1.5901222887789996,3.102397102678493,0.634699183015249,0.0,0.28351271152496343,0.0,0.0
1775605443.4214213,0.7182201477889213,0.5908620220772837,1.5901222887789996,3.102397102678493,0.634699183015249,0.0,0.2834948897361756,0.0,0.0
1775605443.521345,0.7182201477889213,0.5908620220772837,1.5901222887789996,3.102397102678493,0.634699183015249,0.0,0.2834838628768921,0.0,0.0
1775605443.6214,0.7182201477889213,0.5908620220772837,1.5901222887789996,3.102397102678493,0.634699183015249,0.0,0.283455491065979,0.0,0.0
1775605443.7213702,0.7182201477889213,0.5908620220772837,1.5901222887789996,3.102397102678493,0.634699183015249,0.0,0.2835072875022888,0.0,0.0
1775605443.8213644,0.7182201477889213,0.5908620220772837,1.5901222887789996,3.102397102678493,0.634699183015249,0.0,0.28350818157196045,0.0,0.0
1775605443.9213634,0.7182201477889213,0.5908620220772837,1.5901222887789996,3.102397102678493,0.634699183015249,0.0,0.28351759910583496,0.0,0.0
1775605444.0214083,0.7182201477889213,0.5908620220772837,1.5901222887789996,3.102397102678493,0.634699183015249,0.0,0.28349798917770386,0.0,0.0
1775605444.1215415,0.7182201477889213,0.5908620220772837,1.5901222887789996,3.102397102678493,0.634699183015249,0.0,0.28353369235992426,0.0,0.0
1775605444.2214477,0.7182201477889213,0.5908620220772837,1.5901222887789996,3.102397102678493,0.634699183015249,0.0,0.2835097908973694,0.0,0.0
